(0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000), (0.000000, 0.000000)
(0.000203, 0.000785), (0.003239, 0.012515), (0.008054, 0.031120), (0.006100, 0.023568), (0.003766, 0.014551), (0.002325, 0.008984), (0.001494, 0.005774), (0.001004, 0.003877), (0.000701, 0.002710), (0.000507, 0.001959), (0.000377, 0.001459), (0.000288, 0.001113), (0.000225, 0.000868), (0.000178, 0.000689), (0.000144, 0.000555), (0.000118, 0.000454), (0.000097, 0.000376), (0.000118, 0.000454), (0.000144, 0.000555), (0.000178, 0.000689), (0.000225, 0.000868), (0.000288, 0.001113), (0.000377, 0.001459), (0.000507, 0.001959), (0.000701, 0.002710), (0.001004, 0.003877), (0.001494, 0.005774), (0.002325, 0.008984), (0.003766, 0.014551), (0.006100, 0.023568), (0.008054, 0.031120), (0.003239, 0.012515)
(0.015381, 0.059431), (0.016108, 0.062240), (0.014093, 0.054452), (0.009812, 0.037913), (0.006313, 0.024391), (0.004069, 0.015722), (0.002700, 0.010433), (0.001855, 0.007167), (0.001318, 0.005091), (0.000964, 0.003725), (0.000724, 0.002798), (0.000556, 0.002150), (0.000436, 0.001684), (0.000348, 0.001343), (0.000281, 0.001087), (0.000231, 0.000891), (0.000191, 0.000740), (0.000231, 0.000891), (0.000281, 0.001087), (0.000348, 0.001343), (0.000436, 0.001684), (0.000556, 0.002150), (0.000724, 0.002798), (0.000964, 0.003725), (0.001318, 0.005091), (0.001855, 0.007167), (0.002700, 0.010433), (0.004069, 0.015722), (0.006313, 0.024391), (0.009812, 0.037913), (0.014093, 0.054452), (0.016108, 0.062240)
(0.019693, 0.076090), (0.018299, 0.070705), (0.014718, 0.056870), (0.010631, 0.041075), (0.007312, 0.028251), (0.004997, 0.019309), (0.003467, 0.013395), (0.002461, 0.009508), (0.001790, 0.006918), (0.001334, 0.005154), (0.001016, 0.003925), (0.000789, 0.003047), (0.000623, 0.002408), (0.000500, 0.001932), (0.000407, 0.001572), (0.000335, 0.001295), (0.000279, 0.001079), (0.000335, 0.001295), (0.000407, 0.001572), (0.000500, 0.001932), (0.000623, 0.002408), (0.000789, 0.003047), (0.001016, 0.003925), (0.001334, 0.005154), (0.001790, 0.006918), (0.002461, 0.009508), (0.003467, 0.013395), (0.004997, 0.019309), (0.007312, 0.028251), (0.010631, 0.041075), (0.014718, 0.056870), (0.018299, 0.070705)
(0.016042, 0.061983), (0.015063, 0.058202), (0.012625, 0.048782), (0.009749, 0.037669), (0.007196, 0.027804), (0.005228, 0.020200), (0.003807, 0.014709), (0.002805, 0.010838), (0.002100, 0.008114), (0.001599, 0.006180), (0.001239, 0.004786), (0.000975, 0.003767), (0.000779, 0.003009), (0.000630, 0.002435), (0.000517, 0.001996), (0.000428, 0.001654), (0.000358, 0.001384), (0.000428, 0.001654), (0.000517, 0.001996), (0.000630, 0.002435), (0.000779, 0.003009), (0.000975, 0.003767), (0.001239, 0.004786), (0.001599, 0.006180), (0.002100, 0.008114), (0.002805, 0.010838), (0.003807, 0.014709), (0.005228, 0.020200), (0.007196, 0.027804), (0.009749, 0.037669), (0.012625, 0.048782), (0.015063, 0.058202)
(0.012186, 0.047086), (0.011625, 0.044919), (0.010173, 0.039306), (0.008329, 0.032182), (0.006535, 0.025250), (0.005018, 0.019387), (0.003827, 0.014788), (0.002928, 0.011313), (0.002259, 0.008727), (0.001762, 0.006807), (0.001391, 0.005374), (0.001112, 0.004295), (0.000899, 0.003473), (0.000735, 0.002840), (0.000608, 0.002347), (0.000507, 0.001959), (0.000427, 0.001649), (0.000507, 0.001959), (0.000608, 0.002347), (0.000735, 0.002840), (0.000899, 0.003473), (0.001112, 0.004295), (0.001391, 0.005374), (0.001762, 0.006807), (0.002259, 0.008727), (0.002928, 0.011313), (0.003827, 0.014788), (0.005018, 0.019387), (0.006535, 0.025250), (0.008329, 0.032182), (0.010173, 0.039306), (0.011625, 0.044919)
(0.009288, 0.035889), (0.008966, 0.034642), (0.008100, 0.031298), (0.006934, 0.026790), (0.005710, 0.022064), (0.004593, 0.017745), (0.003650, 0.014105), (0.002892, 0.011175), (0.002297, 0.008876), (0.001835, 0.007092), (0.001478, 0.005711), (0.001201, 0.004639), (0.000984, 0.003802), (0.000814, 0.003144), (0.000679, 0.002623), (0.000571, 0.002206), (0.000484, 0.001870), (0.000571, 0.002206), (0.000679, 0.002623), (0.000814, 0.003144), (0.000984, 0.003802), (0.001201, 0.004639), (0.001478, 0.005711), (0.001835, 0.007092), (0.002297, 0.008876), (0.002892, 0.011175), (0.003650, 0.014105), (0.004593, 0.017745), (0.005710, 0.022064), (0.006934, 0.026790), (0.008100, 0.031298), (0.008966, 0.034642)
(0.007218, 0.027890), (0.007025, 0.027142), (0.006492, 0.025086), (0.005742, 0.022186), (0.004909, 0.018967), (0.004099, 0.015838), (0.003374, 0.013038), (0.002758, 0.010658), (0.002251, 0.008697), (0.001840, 0.007110), (0.001511, 0.005838), (0.001248, 0.004821), (0.001037, 0.004007), (0.000868, 0.003353), (0.000731, 0.002825), (0.000620, 0.002396), (0.000530, 0.002046), (0.000620, 0.002396), (0.000731, 0.002825), (0.000868, 0.003353), (0.001037, 0.004007), (0.001248, 0.004821), (0.001511, 0.005838), (0.001840, 0.007110), (0.002251, 0.008697), (0.002758, 0.010658), (0.003374, 0.013038), (0.004099, 0.015838), (0.004909, 0.018967), (0.005742, 0.022186), (0.006492, 0.025086), (0.007025, 0.027142)
(0.005732, 0.022146), (0.005610, 0.021676), (0.005270, 0.020363), (0.004775, 0.018448), (0.004200, 0.016228), (0.003614, 0.013964), (0.003063, 0.011835), (0.002572, 0.009939), (0.002151, 0.008310), (0.001796, 0.006940), (0.001502, 0.005805), (0.001261, 0.004871), (0.001062, 0.004104), (0.000899, 0.003476), (0.000766, 0.002958), (0.000655, 0.002532), (0.000564, 0.002179), (0.000655, 0.002532), (0.000766, 0.002958), (0.000899, 0.003476), (0.001062, 0.004104), (0.001261, 0.004871), (0.001502, 0.005805), (0.001796, 0.006940), (0.002151, 0.008310), (0.002572, 0.009939), (0.003063, 0.011835), (0.003614, 0.013964), (0.004200, 0.016228), (0.004775, 0.018448), (0.005270, 0.020363), (0.005610, 0.021676)
(0.004643, 0.017941), (0.004564, 0.017634), (0.004338, 0.016763), (0.004002, 0.015463), (0.003599, 0.013904), (0.003171, 0.012253), (0.002753, 0.010638), (0.002366, 0.009142), (0.002021, 0.007808), (0.001721, 0.006648), (0.001464, 0.005657), (0.001247, 0.004819), (0.001065, 0.004116), (0.000913, 0.003526), (0.000785, 0.003032), (0.000678, 0.002618), (0.000588, 0.002271), (0.000678, 0.002618), (0.000785, 0.003032), (0.000913, 0.003526), (0.001065, 0.004116), (0.001247, 0.004819), (0.001464, 0.005657), (0.001721, 0.006648), (0.002021, 0.007808), (0.002366, 0.009142), (0.002753, 0.010638), (0.003171, 0.012253), (0.003599, 0.013904), (0.004002, 0.015463), (0.004338, 0.016763), (0.004564, 0.017634)
